"Nom de l'Article / Vulnérabilité","Catégorie Principale","Statut de Rédaction","Priorité","Impact Potentiel"
"Session Prediction / Weak Session ID","3. Authentication & Session Management","À Faire","Moyenne","Usurpation de Session"
"Cookie Theft (XSS, MITM, physical)","3. Authentication & Session Management","À Faire","Moyenne","Usurpation de Session"
"JWT Weaknesses (alg=none, weak secret, kid header, jku, etc.)","3. Authentication & Session Management","À Faire","Haute","Contournement d'Auth, Élévation de Privilèges"
"OAuth 2.0 Misconfigurations","3. Authentication & Session Management","À Faire","Moyenne","Compte Takeover, Open Redirect"
"Password Reset Poisoning (Host header, X-Forwarded-Host)","3. Authentication & Session Management","À Faire","Haute","Compte Takeover"
"Username Enumeration (timing, error messages)","3. Authentication & Session Management","À Faire","Faible","Reconnaissance, Pré-Brute Force"
"Broken Access Control (Vertical & Horizontal)","4. Authorization & Access Control","À Faire","Critique","Élévation de Privilèges"
"Insecure Direct Object Reference (IDOR)","4. Authorization & Access Control","À Faire","Haute","Exfiltration de Données"
"Broken Object Level Authorization (BOLA – API)","4. Authorization & Access Control","À Faire","Critique","Exfiltration de Données (API)"
"Broken Object Property Level Authorization (Mass Assignment)","4. Authorization & Access Control","À Faire","Moyenne","Modification de Propriétés"
"Missing Function Level Access Control","4. Authorization & Access Control","À Faire","Moyenne","Accès à Fonctionnalité Restreinte"
"Forceful Browsing","4. Authorization & Access Control","À Faire","Faible","Découverte d'Endpoints"
"Cross-Site Scripting (Reflected, Stored, DOM-based)","5. Client-Side Attacks","À Faire","Haute","Vol de Cookie, Defacement"
"Clickjacking / UI Redress","5. Client-Side Attacks","À Faire","Moyenne","Actions Utilisateur Forcées"
"Cross-Site Request Forgery (CSRF/XSRF)","5. Client-Side Attacks","À Faire","Moyenne","Actions Utilisateur Forcées"
"CORS misconfig (wildcard, null origin, credentials, etc.)","5. Client-Side Attacks","À Faire","Moyenne","Vol d'Information/Cookie"
"HTML Injection / Text Injection","5. Client-Side Attacks","À Faire","Faible","Phishing, Defacement"
"Open Redirect & SSRF chaining","5. Client-Side Attacks","À Faire","Moyenne","Phishing, Pivot SSRF"
"DOM Clobbering","5. Client-Side Attacks","À Faire","Faible","Contournement de Sécurité JS"
"XS-Leaks (cache, timing, error events, XS-Search, etc.)","5. Client-Side Attacks","À Faire","Moyenne","Fuite d'Information Cross-Origin"
"Dangling Markup Injection","5. Client-Side Attacks","À Faire","Faible","Fuite d'Information"
"PostMessage vulnerabilities (wildcard origin, no validation)","5. Client-Side Attacks","À Faire","Moyenne","Exécution de Code, Fuite de Données"
"Server-Side Request Forgery (SSRF)","6. Server-Side Logic & Protocol Attacks","À Faire","Critique","Accès Réseau Interne, Cloud Metadata"
"HTTP Request Smuggling (CL.TE, TE.CL, H2.C, H2.TE, HTTP/3)","6. Server-Side Logic & Protocol Attacks","À Faire","Haute","Contournement de Sécurité, Cache Poisoning"
"Host Header Attacks (password reset, cache poisoning, routing bypass)","6. Server-Side Logic & Protocol Attacks","À Faire","Moyenne","Compte Takeover, Cache Poisoning"
"Web Cache Poisoning & Deception","6. Server-Side Logic & Protocol Attacks","À Faire","Haute","Propagation d'Attaque XSS/CSRF"
"HTTP Parameter Pollution (HPP)","6. Server-Side Logic & Protocol Attacks","À Faire","Moyenne","Contournement de Logique"
"HTTP/2 & HTTP/3 Desync / DoS","6. Server-Side Logic & Protocol Attacks","À Faire","Faible","Denial of Service"
"Race Conditions / TOCTOU","6. Server-Side Logic & Protocol Attacks","À Faire","Haute","Logic Bypass, Double Dépense"
"Parameter Tampering","6. Server-Side Logic & Protocol Attacks","À Faire","Moyenne","Contournement de Logique"
"Insecure Deserialization","7. Deserialization & Advanced Code Issues","À Faire","Critique","RCE"
"Prototype Pollution (JavaScript)","7. Deserialization & Advanced Code Issues","À Faire","Moyenne","Contournement de Sécurité JS"
"Server-Side JavaScript Injection (eval, new Function, require bypass, etc.)","7. Deserialization & Advanced Code Issues","À Faire","Haute","RCE"
"Sensitive Data Exposure (PII, tokens, keys in source, logs, etc.)","8. Cryptographic Failures & Information Disclosure","À Faire","Haute","Fuite de Données"
"Information Leakage (stack traces, debug mode, directory listing, error messages)","8. Cryptographic Failures & Information Disclosure","À Faire","Moyenne","Aide à la Reconnaissance"
"Exposed Config / Backup Files (.git, .env, .swp, .bak, config.php~)","8. Cryptographic Failures & Information Disclosure","À Faire","Haute","Fuite de Clés / Code Source"
"Weak Cryptography (MD5/SHA1 passwords, weak RSA, deprecated algos)","8. Cryptographic Failures & Information Disclosure","À Faire","Moyenne","Cassage de Mot de Passe"
"Padding Oracle, BREACH/CRIME/TIME)","8. Cryptographic Failures & Information Disclosure","À Faire","Faible","Découverte de Données Chiffrées"
"Insecure Randomness","8. Cryptographic Failures & Information Disclosure","À Faire","Faible","Prédiction de Session ID/Token"
"Business Logic Flaws (price manipulation, step skipping, status abuse)","9. Business Logic & Abuse","À Faire","Haute","Fraude Financière"
"Rate Limit Bypass (header abuse, IP rotation, race conditions)","9. Business Logic & Abuse","À Faire","Moyenne","Brute Force, DoS"
"Payment Manipulation","9. Business Logic & Abuse","À Faire","Haute","Fraude Financière"
"Unlimited Resource Consumption (file upload, email/SMS bombing, etc.)","9. Business Logic & Abuse","À Faire","Moyenne","Denial of Service (DoS)"
"Account Takeover via logic flaws","9. Business Logic & Abuse","À Faire","Haute","Vol de Compte"
"OWASP API Top 10 full coverage","10. API-Specific","À Faire","Haute","API General (à détailler)"
"Excessive Data Exposure","10. API-Specific","À Faire","Haute","Fuite de Données (API)"
"Lack of Rate Limiting / Resources (API)","10. API-Specific","À Faire","Moyenne","Denial of Service (API)"
"Mass Assignment (API)","10. API-Specific","À Faire","Moyenne","Modification de Propriétés"
"GraphQL Introspection enabled + Batching + Depth bypass","10. API-Specific","À Faire","Moyenne","DoS, Découverte de Schéma"
"gRPC exposed without auth","10. API-Specific","À Faire","Moyenne","Accès Non Autorisé"
"Cloud Metadata Endpoint SSRF (169.254.169.254, etc.)","11. Cloud & Infrastructure","À Faire","Critique","Accès aux Clés Cloud"
"S3 / GCS / Azure Blob public or takeover","11. Cloud & Infrastructure","À Faire","Haute","Fuite de Données, Defacement"
"Serverless / Lambda public + excessive IAM","11. Cloud & Infrastructure","À Faire","Moyenne","Accès aux Ressources Cloud"
"Exposed Kubernetes / Docker API","11. Cloud & Infrastructure","À Faire","Critique","RCE, Contrôle de l'Infrastructure"
"Subdomain Takeover (dangling CNAME)","11. Cloud & Infrastructure","À Faire","Moyenne","Phishing, Cookie Theft"
"Prompt Injection (Web LLM chatbots)","12. Emerging & Modern Attacks","À Faire","Moyenne","Fuite d'Information, Attaque Logique"
"WebSocket Auth Bypass / Origin missing / Flooding","12. Emerging & Modern Attacks","À Faire","Moyenne","Usurpation, DoS"
"Third-party JS Supply Chain (polyfill.io style)","12. Emerging & Modern Attacks","À Faire","Haute","XSS sur tout le site"
"DNS Rebinding","12. Emerging & Modern Attacks","À Faire","Faible","Accès à l'Intranet"
"WebRTC IP/STUN leaks","12. Emerging & Modern Attacks","À Faire","Faible","Fuite d'IP Réelle"
"HSTS missing or bypassable","12. Emerging & Modern Attacks","À Faire","Faible","Downgrade Attack"
"Mixed Content on HTTPS sites","12. Emerging & Modern Attacks","À Faire","Faible","Interceptor le trafic"
"Robots.txt / sitemap.xml interesting endpoints","13. Bonus – Souvent oubliés mais très impactants","À Faire","Faible","Reconnaissance (Endpoints Caches)"
"Swagger / OpenAPI / Redoc exposed without auth","13. Bonus – Souvent oubliés mais très impactants","À Faire","Moyenne","Découverte d'Endpoints"
"Cache-Control / Pragma misconfig → sensitive page cached","13. Bonus – Souvent oubliés mais très impactants","À Faire","Moyenne","Fuite de Session/PII"
"Clickjacking + iframe sandbox bypass tricks","13. Bonus – Souvent oubliés mais très impactants","À Faire","Faible","Actions Utilisateur Forcées"
"Client-Side Path Traversal (JS source maps, etc.)","13. Bonus – Souvent oubliés mais très impactants","À Faire","Faible","Découverte de Code Source"
